Category,Headline,Article,Final_Category
CINEMA,11 നോമിനേഷനുകളുമായി ജോക്കര്‍; ഓസ്‌‌കാര്‍ പട്ടിക പുറത്തുവിട്ടു,"വാഷിംഗ്ടണ്‍ > 2020ലെ ഓസ്‌‌കാര്‍ പുരസ്‌കാരത്തിന്റെ നാമനിര്‍ദ്ദേശ പട്ടിക പുറത്തുവിട്ടു. ജോക്കര്‍ എന്ന ചിത്രത്തിനാണ് കൂടുതല്‍ നോമിനേഷനുകള്‍. വാര്‍ണര്‍ ബ്രദേഴ്സ് നിര്‍മിച്ച ജോക്കറിന് 11 ഓസ്‌കാര്‍ നോമിനേഷനുകളാണ് ലഭിച്ചിട്ടുള്ളത്. വണ്‍സ് അപ്പ്ഓണ്‍ എ ടൈം ഇന്‍ ഹോളിവുഡ്, 1917, ദി ഐറിഷ് മാന്‍ എന്നീ ചിത്രങ്ങള്‍ 10 നോമിനേഷനുകളായി തൊട്ടുപിറകെയുണ്ട്. 



റ്റോഡ് ഫിലിപ്‌സ് (ജോക്കര്‍), ക്വിന്‍ടിന്‍ ടറന്റിനോ (വണ്‍സ് അപ്പോണ്‍ എ ടൈം) ബോംഗ് ജൂന്‍ ഹോ (പാരസൈറ്റ്) എന്നിവരാണ് മികച്ച സംവിധായകനുള്ള പുരസ്‌കാരത്തിന് മത്സരിക്കുന്ന പ്രമുഖര്‍. മികച്ച നടന്റെ പട്ടികയില്‍ ലിയനാര്‍ഡോ ഡി കാപ്രിയോയും (വണ്‍സ് അപ്പോണ്‍ എ ടൈം), ഒവാക്കിന്‍ ഫീനിക്‌സിനും (ജോക്കര്‍) മുന്നിലുണ്ട്. സ്‌കാര്‍ലറ്റ് ജോണ്‍സനടക്കം അഞ്ചുപേരാണ് മികച്ച നടിയാകാന്‍ മത്സരിക്കുന്നത്.",entertainment
WORLD,ട്രംപിന്റെ വിചാരണയിലേക്ക്‌   യുഎസ്‌ സെനറ്റും,"വാഷിങ്‌ടൺ> അമേരിക്കൻ ചരിത്രത്തിലെ മൂന്നാമത്തെ ഇംപീച്ച്‌മെന്റ്‌ പ്രക്രിയക്ക്‌ സെനറ്റിൽ തുടക്കമായി. പ്രസിഡന്റ്‌ ഡോണൾഡ്‌ ട്രംപിന്റെ കുറ്റവിചാരണയ്‌ക്ക്‌ സെനറ്റിൽ നടപടികൾ ആരംഭിച്ചതോടെ തെരഞ്ഞെടുപ്പ്‌ വർഷത്തിന്റെ ചൂടിലേക്ക്‌ അമേരിക്ക കടന്നു. യുഎസ്‌ സുപ്രീംകോടതി ചീഫ്‌ ജസ്‌റ്റിസ്‌ ജോൺ റോബർട്‌സിന്റെ അധ്യക്ഷതയിലാണ്‌ ഇംപീച്ച്‌മെന്റ്‌. ഇതിന്‌ മുന്നോടിയായി, നിഷ്‌പക്ഷമായി നീതി നിറവേറ്റുമെന്ന്‌ സെനറ്റ്‌ അംഗങ്ങൾ ചീഫ്‌ ജസ്‌റ്റിസിന്‌മുന്നിൽ പ്രതിജ്ഞചെയ്‌തു. ട്രംപ്‌ ഇംപീച്ച്‌മെന്റിന്‌ ഹാജരാകാൻ സെനറ്റ്‌ അയക്കുന്ന സമൻസിന്‌ വൈറ്റ്‌ഹൗസ്‌ അഭിഭാഷകസംഘം  ശനിയാഴ്‌ച മറുപടി നൽകും. തുടർന്ന്‌ ചൊവ്വാഴ്‌ച വാദം കേൾക്കൽ ആരംഭിക്കും എന്നാണ്‌ റിപ്പോർട്ട്‌.



കോൺഗ്രസിൽ അധോസഭയായ പ്രതിനിധിസഭ കഴിഞ്ഞമാസം പാസാക്കിയ പ്രമേയം സെനറ്റംഗങ്ങൾ മുമ്പാകെ വായിച്ചാണ്‌  വ്യാഴാഴ്‌ച ഉച്ചകഴിഞ്ഞ്‌ ഇംപീച്ച്‌മെന്റ്‌ നടപടികൾ ആരംഭിച്ചത്‌. ഒമ്പത്‌ പേജ്‌ വരുന്ന പ്രതിനിധിസഭയുടെ  755ാം പ്രമേയം സഭയുടെ രഹസ്യാന്വേഷണ സമിതിയിലെ ആദം ഷിഫ്‌ വായിച്ചു. ഷിഫിന്റെയും നീതിന്യായ സമിതിയിലെ ജെറാൾഡ്‌ നാഡ്‌ലറിന്റെയും നേതൃത്വത്തിൽ പ്രതിനിധിസഭയിൽനിന്ന്‌ ഏഴ്‌ അംഗങ്ങളാണ്‌ സെനറ്റിലെ വിചാരണയിൽ  ഇംപീച്ച്‌മെന്റ്‌ മാനേജർമാരായി പങ്കെടുക്കുന്നത്‌. 



നവംബറിൽ നടക്കുന്ന പ്രസിഡന്റ്‌ തെരഞ്ഞെടുപ്പിൽ എതിർസ്ഥാനാർഥിയാകാൻ ഇടയുള്ള മുൻ വൈസ്‌ പ്രസിഡന്റ്‌ ജൊ ബൈഡനെയും മകനെയും കേസിൽ കുടുക്കാൻ ഉക്രെയ്‌ൻ പ്രസിഡന്റ്‌ വൊളോദിമിർ സെലൻസ്‌കിക്കുമേൽ സമ്മർദം ചെലുത്തിയതാണ്‌ ട്രംപിനെതിരെ ചുമത്തുന്ന രണ്ട്‌ കുറ്റങ്ങളിൽ ഒന്ന്‌.  ഉക്രെയ്‌നിന്‌ കോൺഗ്രസ്‌ പാസാക്കിയ സഹായം സമ്മർദത്തിന്റെ ഭാഗമായി നൽകാതെ തടഞ്ഞുവച്ചു. കോൺഗ്രസ്‌ അന്വേഷണം തടസ്സപ്പെടുത്താൻ ശ്രമിച്ചതാണ്‌ രണ്ടാമത്തെ കുറ്റം.



സഹായം തടഞ്ഞുവച്ചതുവഴി ട്രംപ്‌ അമേരിക്കൻ നിയമം ലംഘിച്ചതായി വ്യാഴാഴ്‌ച ഗവൺമെന്റ്‌ അക്കൗണ്ടബിലിറ്റി ഓഫീസ്‌ വ്യക്തമാക്കിയിട്ടുണ്ട്‌. കൂടാതെ ട്രംപിനെതിരെ പുതിയ തെളിവുകളും പുറത്തുവന്നിട്ടുണ്ട്‌. എന്നാൽ, ഇംപീച്ച്‌മെന്റ്‌ വിഭാഗീയവും തട്ടിപ്പുമാണ്‌ എന്നാണ്‌ ട്രംപിന്റെ വാദം.",business
ART & STAGE,കാഴ‌്ചയെ പുതുക്കി അരങ്ങിൽ ആതിരയുടെ കേകയപുത്രി,തൃപ്പൂണിത്തുറ> കലയിലെ പാരമ്പര്യവാദത്തെയും ആചാരങ്ങളെയും പൊളിച്ചെഴുതിയ കലാമണ്ഡലം ആതിരയുടെ കേകയപുത്രി നങ്ങ്യാർകൂത്ത‌് തൃപ്പൂണിത്തുറയിലെ നിറഞ്ഞ സദസ്സിനുമുന്നിൽ അരങ്ങേറി. മത്സ്യത്തൊഴിലാളിയായ പനമ്പുകാട്  അമ്പിളിയുടെയും തങ്കമ്മയുടെയും ഏകമകളായ ആതിര നങ്ങ്യാർ സമുദായത്തിന‌് പുറത്ത‌് നിന്ന‌് ഈ രംഗത്തുന്ന ആദ്യയാളാണ‌്.,entertainment
National,പൗരത്വ ഭേദഗതി നിയമം : നിലപാടില്‍ വെള്ളംചേര്‍ത്ത് കോൺഗ്രസ്‌,"ന്യൂഡൽഹി

പൗരത്വ ഭേദ​ഗതി നിയമത്തിനെതിരായ നിലപാട്‌ മയപ്പെടുത്തി കോൺഗ്രസ്‌. മുതിർന്ന കോൺഗ്രസ്‌ നേതാക്കളും മുൻ കേന്ദ്ര മന്ത്രിമാരുമായ കപിൽ സിബൽ, ജയ്‌റാം രമേശ്‌, സൽമാൻ ഖുർഷിദ്‌ എന്നിവര്‍ വിട്ടുവീഴ്‌ചാ ധ്വനിയുള്ള നിലപാടുമായി രംഗത്തെത്തി. ഇത്‌ ആയുധമാക്കാനാണ് ബിജെപി നീക്കം.പാർലമെന്റ്‌ പാസാക്കിയ നിയമം നടപ്പാക്കില്ലെന്ന്‌ സംസ്ഥാനങ്ങൾക്ക്‌ പറയാനാകില്ലെന്നാണ് കോഴിക്കോട്ട്‌ സിബൽ പ്രതികരിച്ചത്.",business
SPORTS,ദേശീയ വടംവലി ചാമ്പ്യന്‍ഷിപ്പ്: കേരളം ഓവറോള്‍ ചാമ്പ്യന്‍മാര്‍,മുംബൈ > മഹാരാഷ്‌ട്രയിലെ നന്ദേതില്‍ നടന്ന ദേശീയ സീനിയര്‍ വടംവലി ചാമ്പ്യന്‍ഷിപ്പില്‍ കേരളം ഓവറോള്‍ ചാമ്പ്യന്മാരായി. പുരുഷന്മാരുടെ 640 കിലോ വിഭാഗത്തില്‍ നിലവിലെ ചാമ്പ്യന്മാരായ പഞ്ചാബിനെ പരാജയപ്പെടുത്തി. ചരിത്രത്തിലാദ്യമായാണ് കേരളം സീനിയര്‍ പുരുഷ ടീം കിരീടം നേടുന്നത്.,sports
PRAVASI,സൗദിയിൽ 20ല്‍ കൂടുതല്‍ തൊഴിലാളികളുള്ള സ്ഥാപനങ്ങള്‍ക്ക് വേതന സുരക്ഷാ വ്യവസ്ഥ,ദമ്മാം>  20 കൂടുതല്‍ തൊഴിലാളികളുള്ള സ്ഥാപനങ്ങള്‍ക്ക് കൂടി വേതന സുരക്ഷാ വ്യവസ്ഥ നടപ്പാക്കുമെന്ന് സൗദി തൊഴില്‍ സാമൂഹ്യ ക്ഷേമ മന്ത്രാലയം അറിയിച്ചു. മേല്‍പറയപ്പെട്ട വിഭാഗത്തിലെ സ്ഥാപന ഉടമകള്‍ തങ്ങളുടെ തൊഴിലാളികളുടെ ബേങ്ക് അക്കൗണ്ടുകളും ശമ്പള കാര്‍ഡും ഫയലുംകളും ഉറപ്പാക്കണമെന്ന് തൊഴില്‍ മന്ത്രാലയം ആവശ്യപ്പെട്ടു.,business
CINEMA,"എപ്പോഴും കലിപ്പ്‌ നോട്ടവുമായി നടന്നാൽ ""ബോൾഡായ' സ്‌ത്രീ ആകില്ല; ‘പ്രതി പൂവൻകോഴി’ കാണുമ്പോൾ",റോഷൻ ആൻഡ്രൂസ്,entertainment
SPORTS,ഈ അമ്മ സൂപ്പർ,"ഹൊബാർട്ട്‌

കളിക്കളത്തിലേക്കുള്ള തിരിച്ചുവരവ്‌ ആഘോഷമാക്കി സാനിയ മിർസ. അമ്മയായ ശേഷം ആദ്യമായി കളിക്കാനിറങ്ങിയ സാനിയ ഉക്രെയ്‌ൻകാരി നാദിയ കിചെനൊക്കുമായി ചേർന്ന്‌ ഹൊബാർട്ട്‌ ഇന്റർനാഷണൽ ടെന്നീസ്‌ കിരീടം നേടി. ഫൈനലിൽ രണ്ടാം സീഡ്‌ ചൈനക്കാരായ ഷുആയ്‌ പെങ്–-സാങ് സഖ്യത്തെ 6–-4, 6–-4ന്‌ അട്ടിമറിച്ചു.",sports
EDITORIAL,കോർപറേറ്റ് വ്യവസായികൾക്കും മോഡിയെ മടുത്തു,"ഇന്ത്യയിലെ കോർപറേറ്റ് വ്യവസായ ലോകത്തിനും ഒടുവിൽ മോഡി–-അമിത് ഷാ ഭരണം മടുത്തുതുടങ്ങി. രാജ്യം ഭീതിയിലാണെന്നും കേന്ദ്രഭരണത്തെ വിമർശിക്കാൻ ആളുകൾക്ക് ഭയമാണെന്നുമാണ് വ്യവസായ പ്രമുഖരിലൊരാളായ രാഹുൽ ബജാജ് കഴിഞ്ഞദിവസം തുറന്നടിച്ചത്. വിമർശനമുൾക്കൊള്ളാൻ മോഡി സർക്കാർ തയ്യാറല്ലെന്നും ആഭ്യന്തരമന്ത്രി അമിത് ഷാ, ധനമന്ത്രി നിർമല സീതാരാമൻ, റെയിൽവേ മന്ത്രി പീയൂഷ് ഗോയൽ എന്നിവരുടെ മുഖത്തുനോക്കി രാഹുൽ ബജാജ് പറഞ്ഞു. ‘ഇക്കണോമിക് ടൈംസ്' പത്രത്തിന്റെ ‘ഇ ടി അവാർഡ്'ചടങ്ങിൽ മന്ത്രിമാരുമായി വ്യവസായികൾ നടത്തിയ ആശയവിനിമയത്തിനിടെയുള്ള ശക്തമായ ഈ പ്രതികരണം കോർപറേറ്റ് മേധാവികൾ നിറഞ്ഞ സദസ്സ്‌ കൈയടിയോടെയാണ് വരവേറ്റത്. മുകേഷ് അംബാനി, കുമാർ മംഗലം ബിർള, സുനിൽ ഭാരതി മിത്തൽ എന്നിവരടക്കമുള്ള വ്യവസായ പ്രമുഖരുടെ സാന്നിധ്യത്തിലായിരുന്നു പത്മഭൂഷൺ ജേതാവായ ബജാജിന്റെ വിമർശനം.",business
CINEMA,പ്രണയത്തിനെന്ത്‌  പ്രായം,ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെയാണ് എന്നും പോപ് സംഗീതറാണി മഡോണ സഞ്ചരിച്ചത്. ലോകത്തേറ്റവും സ്വാധീനശേഷിയുള്ള സംഗീതകാരിയുടെ  വ്യക്തിജീവിതം സദാചാരവാദികൾക്ക് എന്നും അമ്പരപ്പാണ് സമ്മാനിച്ചത്. 61-ാം വയസ്സിൽ മഡോണ 25 വയസ്സുകാരനുമായി പ്രണയത്തിലാണെന്ന് ഹോളിവുഡ് മാധ്യമങ്ങൾ.,entertainment
EDUCATION,കെല്‍ട്രോണിൽ ടെലിവിഷന്‍  ജേര്‍ണലിസം കോഴ്‌സ്‌,"കൊച്ചി

കെൽട്രോൺ നടത്തുന്ന ടെലിവിഷൻ ജേർണലിസം കോഴ്‌സിന്റെ 2019–-20 ബാച്ചിലേക്ക് അപേക്ഷ  ക്ഷണിച്ചു. ഏതെങ്കിലും വിഷയത്തിൽ ബിരുദമുള്ളവർക്കും ഫലം കാത്തിരിക്കുന്നവർക്കും അപേക്ഷിക്കാം. പ്രായപരിധി 30. തിരുവനന്തപുരം കെൽട്രോൺ നോളജ് സെന്ററിൽ അപേക്ഷിക്കണം. ksg.ketlron.in എന്ന വെബ്‌സൈറ്റിലും അപേക്ഷാ ഫോം ലഭിക്കും. വിലാസം: കെൽട്രോൺ നോളജ്  സെന്റർ, രണ്ടാംനില, ചെമ്പിക്കലം ബിൽഡിങ്, ബേക്കറി ജങ്‌ഷൻ, വിമെൻസ് കോളേജ്  റോഡ്, വഴുതക്കാട്, തിരുവനന്തപുരം, 695014. ഫോൺ: 8137969292.",entertainment
CINEMA,നടി രശ്‌മിക മന്ദാനയുടെ വീട്ടിൽ ആദായനികുതി വകുപ്പ്‌ റെയ്‌ഡ്‌,"ബംഗളൂരു > നടി രശ്മിക മന്ദാനയുടെ വീട്ടില്‍ ആദായ നികുതി വകുപ്പ് പരിശോധന. വീരാജ് പേട്ടയിലെ നടിയുടെ വസതിയില്‍ പത്തോളം ഉദ്യോഗസ്ഥരെത്തിയാണ് റെയ്ഡ് നടത്തിയത്.  ഹൈദരാബാദില്‍ ഒരു സിനിമാ ഷൂട്ടിങ്ങിലായിരുന്ന നടി ആദായ നികുതി വകുപ്പ് റെയ്ഡ് നടക്കുമ്പോള്‍ വീട്ടിലുണ്ടായിരുന്നില്ല.



നടിയുമായി ബന്ധപ്പെട്ട പണമിടപാടുകളും ബാങ്ക് സ്വത്ത് വിവരങ്ങളും ഉദ്യോഗസ്ഥര്‍ പരിശോധിച്ച് വരികയാണെന്ന് റിപ്പോര്‍ട്ടുകള്‍ സൂചിപ്പിക്കുന്നു. വ്യാഴാഴ്ച്ച രാവിലെ ഏഴരയോടെയാണ് നടിയുടെ വീട്ടില്‍ ആദായ നികുതി വകുപ്പ് ഉദ്യോഗസ്ഥരെത്തിയത്.



2016ല്‍ പുറത്തിറങ്ങിയ കിരിക് പാര്‍ട്ടി എന്ന കന്നഡ ചിത്രത്തിലൂടെയാണ് രശ്മികയുടെ സിനിമാ പ്രവശേനം. കന്നഡയിലും തെലുങ്കിലും ശ്രദ്ധേയമായ നിരവധി ചിത്രങ്ങളുടെ ഭാഗമായിട്ടുണ്ട് രശ്മിക. രശ്മികയുടെ ചിത്രമായ ഗീതാ ഗോവിന്ദത്തിന് മലയാളത്തിലും നിരവധി പ്രേക്ഷകരുണ്ടായിരുന്നു.",business
National,2200 കോടിയുടെ പദ്ധതിയുമായി ലുലു ഗ്രൂപ്പ് ബംഗളൂരുവില്‍,"ബംഗളൂരു> ലോജിസ്റ്റിക്‌സ്, ഷോപ്പിംഗ് മാള്‍, ഹോസ്പിറ്റാലിറ്റി, ഭക്ഷ്യസംസ്‌കരണം എന്നീ മേഖലകളിലായി  2200 കോടിയുടെ നിക്ഷേപം കര്‍ണാടകയില്‍  നടത്തുമെന്ന് ലുലു ഗ്രൂപ്പ് ചെയര്‍മാന്‍ എം.എ.യൂസഫലി. ദാവോസില്‍ നടക്കുന്ന ലോക സാമ്പത്തിക ഫോറത്തില്‍ കര്‍ണാടക മുഖ്യമന്ത്രി ബി.എസ്.യെഡിയൂരപ്പയുമായി

നടത്തിയ കൂടിക്കാഴ്ചക്കിടെയാണ് അദ്ദേഹം പദ്ധതികള്‍ വെളിപ്പെടുത്തിയത്.



ബംഗളൂരുവിലെ രാജാജി നഗറില്‍ നിര്‍മാണത്തിലുള്ള ലുലുമാള്‍ ഈ വര്‍ഷം ഓഗസ്റ്റോടെ പ്രവര്‍ത്തനം ആരംഭിക്കുമെന്ന് യൂസഫലി മുഖ്യമന്ത്രിയെ അറിയിച്ചു.ലുലു ഹൈപ്പര്‍മാര്‍ക്കറ്റായിരിക്കും മാളിന്റെ മുഖ്യ ആകര്‍ഷണം. 



ബംഗളൂരുവിലെ ഷോപ്പിങ് മാള്‍ കൂടാതെ 2 നക്ഷത്ര ഹോട്ടലുകളും ബംഗളൂരുവില്‍ ഗ്രൂപ്പിന്റെ ഉപസ്ഥാപനമായ ട്വന്റി ഫോര്‍ട്ടി ഹോള്‍ഡിങ്‌സ് ആരംഭിക്കുന്നുണ്ട്. ഉത്തര കാനറയിലും ബംഗളുരുവിലുമായിട്ടാണ് ലോജിസ്റ്റിക്‌സ് സെന്റര്‍ ആരംഭിക്കാന്‍ ഉദ്ദേശിക്കുന്നതെന്നും അദ്ദേഹം പറഞ്ഞു .നിക്ഷേപകര്‍ക്ക് എല്ലാ സഹായങ്ങളും ചെയ്യാന്‍ സര്‍ക്കാര്‍ പ്രതിജ്ഞാബദ്ധമാണെന്നു മുഖ്യമന്ത്രിയും ഉറപ്പു നല്‍കി.



ഈ വര്‍ഷം നവംബര്‍ 3 മുതല്‍ 5 വരെ ബംഗളൂരുവില്‍ നടക്കുന്ന ആഗോള നിക്ഷേപക സമ്മേളനത്തിലേക്കുള്ള ക്ഷണപത്രം യൂസഫലിക്ക് മുഖ്യമന്ത്രിക്ക് കൈമാറി.",business
CINEMA,"കുഞ്ചാക്കോ ബോബന്റെ ""അഞ്ചാം പാതിര' വെള്ളിയാഴ്‌ച തീയറ്ററുകളിലേക്ക്‌","കുഞ്ചാക്കോ ബോബൻ, ഉണ്ണിമായ പ്രസാദ്, രമ്യ നമ്പീശൻ എന്നിവരെ പ്രധാന കഥാപാത്രങ്ങളാക്കി മിഥുൻ മാനുവൽ തോമസ്സ് തിരക്കഥയെഴുതി സംവിധാനം ചെയ്യുന്ന ചിത്രമാണ് 'അഞ്ചാം പാതിര'. ചിത്രം ജനുവരി 10 വെള്ളിയാഴ്‌ച തീയറ്ററുകളിലെത്തും.



ശ്രീനാഥ് ഭാസി, ഇന്ദ്രൻസ്, ജിനു ജേക്കബ്, സുധീഷ്, ഹരികൃഷ്ണന്‍, ജാഫര്‍ ഇടുക്കി, അഭിറാം, മാത്യു, അസീം ജമാല്‍, ദിവ്യ ഗോപിനാഥ്, നന്ദന വര്‍മ്മ തുടങ്ങിയവരാണ് മറ്റു പ്രധാന താരങ്ങൾ. ആഷിക്ക് ഉസ്മാൻ പ്രൊഡക്ഷൻസിന്റെ ബാനറിൽ ആഷിക്ക് ഉസ്മാൻ നിർമ്മിക്കുന്ന ഈ ചിത്രത്തിന്റെ ഛായാഗ്രഹണം ഷെെജു ഖാലിദ് നിർവ്വഹിക്കുന്നു. സുഷിൻ ശ്യാം സംഗീതം നിർവഹിക്കുന്നു.",entertainment
PRAVASI,സഫാമക്ക കപ്പ് അഞ്ചാമത് ഇന്റര്‍ കേളി ഫുട്‌ബോള്‍; ട്രോഫികള്‍ വിതരണം ചെയ്‌തു,"റിയാദ് > കേളി കലാസാംസ്‌കാരിക വേദിയുടെ പത്തൊന്‍പതാം വാര്‍ഷികത്തിന്റെ ഭാഗമായി നടന്ന സഫാമക്ക ട്രോഫികള്‍ക്ക് വേണ്ടിയുള്ള അഞ്ചാമത് ഇന്റര്‍കേളി ഏകദിന ഫുട്‌ബോള്‍ ടൂര്‍ണമെന്റ് വിജയികള്‍ക്ക് ട്രോഫികള്‍ വിതരണം ചെയ്തു. ബഗ്ലഫിലെ മോഡേണ്‍ മിഡില്‍ ഈസ്റ്റ് ഇന്റര്‍നാഷണല്‍ സ്‌കൂളിലെ 'കേളിദിനം 2020' ന്റെ വേദിയില്‍ മുഖ്യാതിഥി എം സ്വരാജ് എം എല്‍ എ യുടെ സാന്നിദ്ധ്യത്തിലാണ്  ട്രോഫികള്‍ വിതരണം ചെയ്തത്.



ടൂര്‍ണമെന്റിലെ മികച്ച കളിക്കാരനായി തിരഞ്ഞെടുത്ത  അല്‍ഖര്‍ജ് ഏരിയയിലെ ഷാഫിക്ക് കേളി പ്രസിഡന്റ് ഷമീര്‍ കുന്നുമ്മലും, മികച്ച ഗോള്‍കീപ്പറായി തിരഞ്ഞെടുത്ത മൊയ്തുവിന് (അല്‍ഖര്‍ജ്) ജോയിന്റ് സെക്രട്ടറി സുരേഷ് കണ്ണപുരവും, ടോപ്പ് സ്‌കോറര്‍ ഷാഫിക്ക് (അല്‍ഖര്‍ജ്) ജോയിന്റ് സെക്രട്ടറി സുധാകരന്‍ കല്ല്യാശ്ശേരിയും, ബെസ്റ്റ് ഡിഫന്റര്‍ ജോജിക്ക് (ഉമ്മുല്‍ ഹമാം) സെക്രട്ടറിയേറ്റ് അംഗം സുരേന്ദ്രന്‍ കൂട്ടായിയും, റഫറിമാര്‍ക്കുള്ള മെഡലുകള്‍ സെക്രട്ടറി ഷൗക്കത്ത് നിലമ്പൂരും സമ്മാനിച്ചു.",sports
